url,points,age
https://www.shopeedonggia.com/,68,17
https://shopeedonggia.com/,66,17
https://docs.google.com/forms/d/e/1FAIpQLSecdf2fmgPudfg1D1ygs1ZKMlQfGvhFzXJiC1NbBWWtK0nyag/viewform?vc=0&amp;c=0&amp;w=1&amp;flr=0,31,8564
https://groups.google.com/forum/?utm_medium=email&amp;utm_source=footer,10,8564
https://groups.google.com/d/msgid/uhrda-403/CA%2BkbiypqY6S8JGF4V7KmjvzmdSui5n_MFdCOw58HtHJVz695%2Bw%40mail.gmail.com?utm_medium=email&amp;utm_source=footer,27,8564
http://urlq.com/c1I,8,6473
https://ytczuai5450.typeform.com/to/SoE08Yxz,37,6824
https://tvp-info.xyz,5,6
https://get.vanderlaanbv.info/index.php/lists/block-address,19,8
http://_38_40.demenagementselect.com///#aHR0cDovLzc1LjEwMy45MC4xNDEvd2luL01hbC9JSy9vZjEvL2JlcnRoeWxlbG5lbHNvbkBwcmVwYWlkbGVnYWwuY29t,4,2529
https://www.daskann-clientsfr.com/login,37,79
http://www.daskann-clientsfr.com/,36,79
https://navigator.thereisacause.com/oxkppwqvksrvdigcjbwfofa/olqnmztzsusarjlxtjjsp,48,3008
https://spkassen-de-validieren14.xyz/sp/anmeldung.php?starten=ULP5niJxQS7goHfmKV8Nc4brstZ26y&amp;shufflUri?=dDU4tnHKSwMa7k1xJe8o,11,4
https://spkassen-de-validieren14.xyz/sp/,8,4
https://bb-patrimoine.com/index.html,55,262
https://espace-autoentrepreneur.com/,29,1596
https://webmail703.wixsite.com/webupdate,16,3214
http://pinengineer.com/a22,4,33
http://www.hiprofileescortahmedabad.com/cities/call-surat-escorts-girls.html,93,1602
https://charmee.net/itrm.mpe/5/login.php,7,322
https://www.google.com/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=&amp;cad=rja&amp;uact=8&amp;ved=2ahUKEwitmd7Xn_DuAhUJnxQKHQRyAzgQFjAAegQIAhAC&amp;url=https%3A%2F%2Fwww.skat.dk%2F&amp;usg=AOvVaw24O4dw0AJQrprSKNS9u7Pi,5,8564
http://www.pl-weryfikacja.bid/,12,1
http://pl-weryfikacja.bid/,10,1
http://www.pl-weryfikacja.tel/,12,1
http://pl-weryfikacja.tel/,10,1
http://www.pl-weryfikacja.capital/,12,1
http://pl-weryfikacja.capital/,10,1
http://www.pl-weryfikacja.digital/,12,1
http://capstonebelievers.org/emc.itrp/5/sitr.php,59,703
https://walletsconnect.net/,23,25
https://442burger.com/wp-includes/rak/rakk,7,234
http://pinengineer.com/a10,4,33
https://spangle-kaput-cactus.glitch.me/,10,4604
https://ia801401.us.archive.org/20/items/authwdzpjebawdhfwcxaupnfqeqnhjvhxxxfbquvw0prwou2dnth90g0ijih9ka0feesu2ennixenebu/index.htm,28,9205
https://bwbank.cc/,4,6
http://bw-bank.us/,6,7
https://backoffice.paparakey.com/,18,409
https://newtechselfdefense.com/cc/chi_mail/,35,296
https://zfrmz.com/ZUPVcpEDHolWpEywf01r,10,784
https://rksdevelopment.com/itrm.mpe/5/login.php,48,2542
https://mizzentastefuls.com/Admin/cov/Banking/NedbankExperience.svg,10,253
https://pokajca.web.app/,20,778
https://docs.google.com/document/d/e/2PACX-1vSmj0M412QpahwdCFMSMynzDE3zGq9PVM5IiAODG5CcnqwWrFqYTAMbaVjgbed_G-D-ncPfmkuyrjfr/pub,27,8564
https://sdsddds.typeform.com/to/HhwCOLlY,20,6824
http://acesso-caixa.pixclientes.com,8,9
https://docs.google.com/document/d/e/2PACX-1vTj_-LDjFUxvxSbW2yIvTtMKlHHWB0XalRXb_SxzUB7mvM23nXXvOr35_pPdLtnvLm7Bo8pC5oao0JN/pub,27,8564
https://jpmufgbank.com/r/i2ecns5,16,7
http://bank-dbs.com,10,80
https://www.chooseyourmortgage.com/lending/home-refinance/index.loan?moid=221627&amp;sourceid=lmb-60047-121127-114&amp;pkey1=114&amp;pkey2=5478&amp;pkey3=34496944&amp;sid=72&amp;cmpid=1281&amp;crtid=347,75,1212
http://unionb.ankingonline-phubx.com,19,8
http://gordenminimalisterbaru.com/distirbutor-tirai-rumah-sakit-anti-darah-terlengkap-2021/,19,1291
http://autenticacaomobs.com/21999060488,15,7
https://mortgage.quickenloans.com/lending/home-refinance/?pkey1=233&amp;pkey2=42163&amp;pkey3=932p8zxepuivc86619pujq&amp;sourceid=lmb-54867-113582-233,51,8252
http://www.wwwmultiva.com.mx/,12,10955
https://my.jcb.co.mgilg.com/index.html,31,365
https://keriuqroup.com/.com/#,4,71
https://online.rbb.bg-bg-loginall-22-02-2021.sh.alyomhost.net/.well-known/acme-challenge/Service/login/,41,2841
https://c0o.cc/iovy,6,13
http://a0517734.xsph.ru/Bancolombia-verificar-identidad,10,4592
http://a0517734.xsph.ru/Bancolombia-verificar-identidad/,16,4592
https://bit.ly/37is7DZ,5,4666
https://centrocita.org/auth/,3,4195
http://raul.younggeeks.net/diepost/,11,582
https://cuentadirectinges.com/r4/publications.php?ip=389832328code=161100453&amp;id=32965255&amp;country=890755657,6,2
https://ebay-desktop.de.malavida.com/,66,7209
http://cadastro-appmovel.com,42,12
https://vegam.co/,96,2078
http://banorte.regional.tlalnepantla.dimarketing.mx/,14,955
https://online.pubhtml5.com/ahyf/qvyz/,6,2528
https://phillipmill176545.clickfunnels.com/optin1614088498532,9,2702
https://iimtermatico-0.webcindario.com/step1.html,8,7301
https://generalityfounds.webcindario.com/login.html,6,7301
http://redeliver-rm.com/user.php?&amp;sessionid=f01f18eaec89816094bc3868f662d236&amp;securessl=true,11,1
http://redeliver-rm.com/,10,1
https://solicitudpreviacr.com/,27,6
https://tcaconnect.ac-page.com/toronto-construction-association-inc,41,244
https://secure285.inmotionhosting.com/~nf01c85/4679q9=/johter/SBROCKER/login.php,13,7315
https://vh354.timeweb.ru/blocked/?ref=cs44679.tmweb.ru,10,5434
http://cs44679.tmweb.ru/mau/,10,5354
http://netzerohfgfdhrdtdy.yolasite.com,10,4707
https://u3703558.ct.sendgrid.net/ls/click?upn=jFiVDifEWtywQHvtb4S0mjMqMd736XJ67SwZH15tlKhzH9MW8M62o6Lxh33qty0jnUAMxh3vqgMnF0MGeuADhlkDDmeZUAHSshF2gXBOgpHrrK86hgJqP6-2FZs9nTaVvx_wy0_keAAk8B1lY5SUZ-2FZdlXwzzYGvsAKT5OW5V3q1kxMYyMvfM3zVex013UcXl9doZZpEl7xR4m2-2Bh6kmyUl4Kpd9dnyxtCldu5lUQAU0MuXaSqmrc7mGyQ9KxbeeGag7qmG0wQN7OBQzCWcbhD54iVoFDGk-2FWyZh5kor0I5f3Mxp-2FPTZ-2FCJSkA8QP-2FYohLaE8nR9jih-2F1QIsFHvY67w7koJmnQU9QeQAynzTO9T1178nTw-3D,9,4329
https://u3703558.ct.sendgrid.net/ls/click?upn=jFiVDifEWtywQHvtb4S0mjMqMd736XJ67SwZH15tlKhzH9MW8M62o6Lxh33qty0jnUAMxh3vqgMnF0MGeuADhsTwQMlvIi1BQ89eSVzWDjDqb0iCMMvK3ACKsKXCCKVMiLdo_vgx5UXL1sKq2-2BD9WcXXV3wGj-2FV5iVxr7CXDZV2Fgf9fGQN0kGnHIdJdfiv3P7ds5T1fZA5AqDXR2FJ56FkGwObKvKbELNpjBAyhlOw4fWf-2Bqdt6WYtUSSNgmibbq-2B2gV-2BLBxyIukMOesVsUmvaAMsrfKDo3guOtSSimzB-2FWnTRRDvagxl13-2BpnQXrYdeckVtZfMexXipSs-2FF7vgxdtfmyqkx1yl7BQElu8xlBVHyXkk-3D,9,4329
